    Step    Atoms         tot[4]       pairc[4]           f[4]         mvv[4]         Volume         KinEng 
   13000     1000     -541.86636      -444.6159              0     -97.250461           1000       20146740 
   13100     1000     -529.34658     -416.88747              0     -112.45911           1000       20208918 
   13200     1000     -555.77347     -442.57994              0     -113.19353           1000       20088575 
   13300     1000     -533.46473     -439.48725              0     -93.977488           1000       20220949 
   13400     1000     -530.67981     -430.96264              0     -99.717168           1000       20249280 
   13500     1000      -519.9832     -413.86202              0     -106.12118           1000       20167969 
   13600     1000     -509.81991     -411.56611              0     -98.253795           1000       20061009 
   13700     1000     -573.83858     -464.87732              0     -108.96125           1000       20053491 
   13800     1000     -537.90247     -432.46379              0     -105.43869           1000       20125792 
   13900     1000     -531.17226      -424.9583              0     -106.21396           1000       20162617 
   14000     1000     -564.75391     -450.47272              0     -114.28119           1000       20227442 
   14100     1000     -526.93393     -393.21029              0     -133.72364           1000       20287247 
   14200     1000     -576.27688       -456.791              0     -119.48588           1000       20314473 
   14300     1000     -557.26265     -443.21178              0     -114.05087           1000       20371857 
   14400     1000      -538.1955     -423.89222              0     -114.30328           1000       20419421 
   14500     1000     -568.28989     -461.19363              0     -107.09626           1000       20485092 
   14600     1000     -518.30632     -418.54071              0     -99.765617           1000       20539004 
   14700     1000     -531.77508     -426.98233              0     -104.79276           1000       20654778 
   14800     1000     -516.05737     -415.42102              0     -100.63635           1000       20710250 
   14900     1000     -525.33938     -420.27685              0     -105.06253           1000       20763887 
   15000     1000      -507.0207     -396.85454              0     -110.16616           1000       20797915 
   15100     1000     -510.01959     -401.68326              0     -108.33633           1000       20799148 
   15200     1000     -514.04484     -399.35424              0      -114.6906           1000       20834454 
   15300     1000     -592.93161     -457.66475              0     -135.26687           1000       20892670 
   15400     1000     -595.00323      -471.3238              0     -123.67943           1000       21063739 
   15500     1000     -581.21337     -455.67387              0     -125.53951           1000       21012040 
   15600     1000     -551.04811     -431.71861              0      -119.3295           1000       20924375 
   15700     1000     -564.25666     -453.75804              0     -110.49861           1000       20932133 
   15800     1000     -549.72235     -425.03068              0     -124.69167           1000       20863103 
   15900     1000     -543.07771     -425.72669              0     -117.35102           1000       21009483 
   16000     1000     -551.36484     -430.47951              0     -120.88533           1000       21028915 
   16100     1000     -540.61892     -436.90906              0     -103.70986           1000       20991653 
   16200     1000     -529.86022     -404.06638              0     -125.79384           1000       20986234 
   16300     1000     -554.29281     -437.42522              0     -116.86759           1000       20993731 
   16400     1000     -536.51051     -413.34749              0     -123.16302           1000       21088984 
   16500     1000      -556.0021     -453.46535              0     -102.53675           1000       21162967 
   16600     1000     -564.47469     -456.16145              0     -108.31323           1000       21309124 
   16700     1000     -535.80773     -432.60779              0     -103.19995           1000       21468303 
   16800     1000     -552.16059      -436.5476              0     -115.61299           1000       21420948 
   16900     1000     -540.12228     -433.67119              0     -106.45109           1000       21412005 
   17000     1000     -526.87344     -422.90232              0     -103.97113           1000       21401016 
   17100     1000     -567.23826     -464.09883              0     -103.13943           1000       21260434 
   17200     1000     -531.17558     -417.01257              0     -114.16301           1000       21105468 
   17300     1000     -554.36449      -459.7836              0     -94.580892           1000       21095010 
   17400     1000     -531.89702     -431.19763              0     -100.69939           1000       21162797 
   17500     1000     -549.30726     -417.15174              0     -132.15552           1000       21129090 
   17600     1000     -549.85813     -419.58669              0     -130.27143           1000       21262734 
   17700     1000     -550.27105     -429.18368              0     -121.08737           1000       21339948 
   17800     1000     -570.71911     -457.21255              0     -113.50655           1000       21452182 
   17900     1000     -565.77983     -465.05591              0     -100.72392           1000       21362648 
   18000     1000     -527.21922     -420.45287              0     -106.76635           1000       21374476 
   18100     1000     -537.95921     -441.02532              0     -96.933889           1000       21417414 
   18200     1000     -479.66342     -384.76301              0      -94.90041           1000       21506414 
   18300     1000     -505.74697     -406.04416              0     -99.702811           1000       21581965 
   18400     1000      -527.5124     -419.99345              0     -107.51895           1000       21626917 
   18500     1000     -537.01259     -443.63541              0      -93.37718           1000       21816323 
   18600     1000     -546.49264     -450.39234              0     -96.100298           1000       21722102 
   18700     1000     -523.74749     -417.24433              0     -106.50316           1000       21649148 
   18800     1000     -536.38762     -420.04493              0     -116.34269           1000       21618424 
   18900     1000     -541.57729     -444.42654              0     -97.150754           1000       21561489 
   19000     1000     -532.39694     -427.89712              0     -104.49982           1000       21481483 
   19100     1000     -536.32195     -423.29481              0     -113.02714           1000       21520606 
   19200     1000     -525.40395     -412.86596              0     -112.53799           1000       21442709 
   19300     1000     -552.87693     -445.98565              0     -106.89129           1000       21421018 
   19400     1000     -525.81592     -411.54711              0     -114.26881           1000       21498807 
